ired      red
88166   75968
89137   75800
98073   79050
98091   79052
98100   79042
98098   79031
98054   79020
98017   78994
98015   78996
98016   79001
97771   78932
97419   78830
97190   78767
97081   78734
97071   78732
97107   78750
97188   78782
97304   78808
97415   78840
97501   78869
97582   78895
97669   78927
97784   78960
97892   78993
97958   79011
97970   79015
97961   79016
97964   79019
97951   79017
97932   79004
97926   78998
97951   79010
97996   79016
98019   79020
98036   79022
98050   79025
98087   79033
98112   79044
97947   78998
97571   78893
97309   78813
97177   78775
97148   78767
97164   78773
97220   78778
97294   78789
97380   78821
97463   78843
97563   78868
97666   78899
97778   78931
97876   78956
97973   78986
98017   79002
98028   79006
98015   79002
98019   79013
98036   79011
98070   79029
98101   79037
98132   79040
98146   79041
98183   79056
98230   79059
98291   79072
98372   79090
98248   79058
97846   78947
97563   78858
97421   78818
97383   78806
97419   78823
97503   78844
97580   78871
97671   78895
97751   78915
97832   78939
97897   78955
97972   78979
98027   78992
98072   78993
98083   78999
98074   78997
98037   78987
98023   78973
98010   78957
98010   78959
98002   78955
98020   78959
98042   78963
98062   78975
98075   78973
98095   78979
98126   78978
98149   78984
97966   78931
97579   78822
97268   78733
97102   78689
97039   78672
97042   78667
97078   78672
97139   78690
97204   78709
97283   78726
97362   78743
97456   78761
97531   78788
97600   78806
97656   78820
97681   78822
97684   78822
97669   78815
97650   78806
97650   78805
97649   78807
97662   78807
97684   78816
97719   78827
97762   78835
97800   78844
97829   78853
97868   78859
97912   78881
97942   78880
97762   78827
97377   78710
97076   78633
96921   78577
96878   78569
96909   78572
96966   78592
97047   78610
97111   78627
97191   78649
97273   78670
97368   78695
97453   78717
97542   78742
97611   78761
97650   78769
97648   78766
97631   78770
97619   78770
97619   78769
97629   78763
97646   78759
97669   78766
97696   78775
97733   78784
97792   78802
97812   78802
97830   78794
97829   78853
97868   78859
97906   78803
97867   78702
97521   78588
97133   78522
96896   78492
96803   78492
96795   78481
96832   78495
96865   78507
96923   78517
96989   78529
97071   78547
97158   78566
97237   78583
97328   78613
97400   78626
97438   78638
97450   78638
97442   78641
97428   78638
97427   78634
97415   78629
97428   78635
97428   78632
97449   78638
97463   78642
97475   78639
97493   78639
97519   78651
97539   78655
97550   78650
97348   78590
96975   78475
96671   78395
96513   78342
96450   78325
96439   78318
96476   78324
96529   78336
96603   78360
96689   78382
96774   78397
96853   78424
96937   78441
97017   78468
97073   78482
97098   78484
