ired      red
103626   88190
89503   79931
98250   84414
98004   84329
97919   84288
97928   84284
98000   84308
98131   84345
98267   84385
98396   84428
98512   84464
98606   84489
98652   84496
98597   84478
98475   84434
98349   84384
98246   84353
98206   84333
98215   84330
98280   84344
98354   84377
98447   84408
98540   84442
98630   84475
98706   84488
98760   84496
98811   84501
98834   84511
98838   84511
98833   84504
98813   84490
98793   84484
98780   84474
98788   84476
98811   84478
98834   84484
98866   84497
98878   84504
98818   84475
98459   84352
97981   84186
97620   84071
97381   83993
97264   83953
97250   83943
97309   83950
97385   83967
97477   83992
97556   84020
97610   84035
97654   84045
97664   84043
97605   84020
97516   83987
97435   83950
97364   83925
97327   83907
97334   83915
97373   83933
97449   83946
97538   83972
97626   84001
97714   84036
97788   84058
97854   84082
97900   84088
97932   84091
97968   84096
97980   84100
97998   84107
98005   84108
98026   84114
98041   84111
98071   84124
98114   84138
98175   84152
98228   84174
98289   84196
98290   84195
98048   84116
97611   83962
97255   83841
97009   83759
96893   83730
96886   83716
96942   83733
97036   83756
97145   83776
97230   83800
97286   83821
97356   83835
97391   83842
97350   83829
97279   83801
97202   83772
97141   83740
97118   83734
97117   83730
97153   83740
97206   83752
97283   83780
97371   83805
97448   83833
97524   83856
97590   83879
97643   83895
97678   83901
97703   83896
97724   83898
97737   83908
97752   83917
97768   83921
97781   83924
97799   83930
97831   83932
97869   83946
97923   83958
97967   83979
98026   83994
98069   84013
98060   84007
97760   83907
97327   83762
96991   83647
96774   83573
96667   83537
96655   83524
96717   83535
96812   83561
96915   83588
97010   83616
97078   83634
97132   83657
97161   83657
97122   83638
97030   83607
96942   83576
96870   83553
96833   83532
96844   83535
96883   83550
96953   83567
97030   83599
97117   83621
97199   83646
97278   83677
97351   83699
97405   83715
97445   83722
97470   83720
97484   83730
97497   83734
97513   83734
97518   83741
97529   83745
96991   83647
96774   83573
96667   83537
97623   83780
97661   83794
97708   83817
97758   83835
97821   83837
97856   83837
97660   83783
97228   83635
96865   83517
96618   83435
96478   83379
96460   83366
96506   83376
96610   83403
96725   83444
96835   83479
96927   83508
